+-------+---------------------+-------+
| Epoch |         bpd         |   lr  |
+-------+---------------------+-------+
|   1   |  0.5929661226613181 | 0.001 |
|   2   |  0.4778377128328596 | 0.001 |
|   3   |  0.4809157247543335 | 0.001 |
|   4   |  0.4863337734767369 | 0.001 |
|   5   |  0.4453491157804217 | 0.001 |
|   6   | 0.47613991958754404 | 0.001 |
|   7   |  0.4379370109694345 | 0.001 |
|   8   | 0.45855322912761143 | 0.001 |
|   9   |  0.4315537468024663 | 0.001 |
|   10  |  0.4511137941224234 | 0.001 |
|   11  |  0.430962518623897  | 0.001 |
|   12  |  0.4391197487967355 | 0.001 |
|   13  |  0.4728867641176496 | 0.001 |
|   14  |  0.4672417746271406 | 0.001 |
|   15  |  0.4608290853840964 | 0.001 |
|   16  | 0.39929607248306276 | 0.001 |
|   17  | 0.42271793457439966 | 0.001 |
|   18  |  0.4226968263898577 | 0.001 |
|   19  | 0.42592348189439094 | 0.001 |
|   20  |  0.4212672428488731 | 0.001 |
|   21  |  0.4184005594934736 | 0.001 |
|   22  |  0.4139425207887377 | 0.001 |
|   23  | 0.44036805868148804 | 0.001 |
|   24  |  0.4293756818345615 | 0.001 |
|   25  |  0.4239218861205237 | 0.001 |
|   26  | 0.41371424310547966 | 0.001 |
|   27  | 0.42723580844061715 | 0.001 |
|   28  |  0.4402932858467102 | 0.001 |
|   29  | 0.43536454638200145 | 0.001 |
|   30  |  0.4219737416505814 | 0.001 |
|   31  |  0.3977297796521868 | 0.001 |
|   32  |  0.4177492123331342 | 0.001 |
|   33  | 0.40679507945265087 | 0.001 |
|   34  | 0.40130751054627556 | 0.001 |
|   35  |  0.4261961694444929 | 0.001 |
|   36  | 0.41896539694922313 | 0.001 |
|   37  |  0.428993441922324  | 0.001 |
|   38  |  0.3719038675853184 | 0.001 |
|   39  | 0.36979424571990965 | 0.001 |
|   40  |  0.3624356987135751 | 0.001 |
|   41  | 0.36034775495529175 | 0.001 |
|   42  |  0.3884336134365627 | 0.001 |
|   43  |  0.3770731097289494 | 0.001 |
