+-------+---------------------+--------+
| Epoch |         bpd         |   lr   |
+-------+---------------------+--------+
|   1   |  0.6914172470569611 | 0.0001 |
|   2   |  0.7990507689260301 | 0.0001 |
|   3   |  0.8452553160133816 | 0.0001 |
|   4   |  0.6476382826055799 | 0.0001 |
|   5   |  0.5652494984013694 | 0.0001 |
|   6   |  0.5888007070337024 | 0.0001 |
|   7   |  0.6372845463809513 | 0.0001 |
|   8   |  0.6457243817193168 | 0.0001 |
|   9   |  0.5987369006588346 | 0.0001 |
|   10  |  0.5438937587397439 | 0.0001 |
|   11  |  0.5914731820424398 | 0.0001 |
|   12  |  0.5313725946914583 | 0.0001 |
|   13  |  0.4834545446293695 | 0.0001 |
|   14  |  0.536987131195409  | 0.0001 |
|   15  |  0.486894143479211  | 0.0001 |
|   16  |  0.5357140927087694 | 0.0001 |
|   17  |  0.5223883503959292 | 0.0001 |
|   18  |  0.5345599821635655 | 0.0001 |
|   19  |  0.4697816286768232 | 0.0001 |
|   20  |  0.476733277241389  | 0.0001 |
|   21  |   0.44275963306427  | 0.0001 |
|   22  | 0.47605804034641813 | 0.0001 |
|   23  |  0.4790958549295153 | 0.0001 |
|   24  | 0.46055816752570017 | 0.0001 |
|   25  |  0.4520805066540128 | 0.0001 |
|   26  |  0.5006215756847745 | 0.0001 |
|   27  |  0.5032484162421453 | 0.0001 |
|   28  | 0.45360026473090764 | 0.0001 |
|   29  |  0.5034164467028209 | 0.0001 |
|   30  |  0.5099562874862126 | 0.0001 |
|   31  |  0.5589851751213982 | 0.0001 |
|   32  |  0.4472036531993321 | 0.0001 |
|   33  | 0.49799721794469015 | 0.0001 |
|   34  |  0.505863429535003  | 0.0001 |
|   35  |  0.4903531478984015 | 0.0001 |
|   36  |  0.5566990900607336 | 0.0001 |
|   37  |  0.4940176960967836 | 0.0001 |
|   38  | 0.47011956927322207 | 0.0001 |
|   39  |  0.4881111305384409 | 0.0001 |
|   40  | 0.46531740327676135 | 0.0001 |
|   41  | 0.49756352390561787 | 0.0001 |
|   42  |  0.490396342816807  | 0.0001 |
|   43  |  0.5515222890036446 | 0.0001 |
|   44  |  0.4905470340024857 | 0.0001 |
|   45  | 0.43369350653319133 | 0.0001 |
|   46  |  0.5145841134446008 | 0.0001 |
|   47  |  0.5014711433932895 | 0.0001 |
|   48  |  0.4833457100959051 | 0.0001 |
|   49  | 0.47629408822173164 | 0.0001 |
|   50  |  0.5225493226732526 | 0.0001 |
+-------+---------------------+--------+
