+-------+---------------------+-------+
| Epoch |         bpd         |   lr  |
+-------+---------------------+-------+
|   1   |  1.0875121687207183 | 0.001 |
|   2   |  0.9115106572890974 | 0.001 |
|   3   |  0.8478535320010223 | 0.001 |
|   4   |  0.8960067172163709 | 0.001 |
|   5   |  0.8377151471643774 | 0.001 |
|   6   |  0.834817256414796  | 0.001 |
|   7   |  0.8341919210152136 | 0.001 |
|   8   |  0.8509775835794635 | 0.001 |
|   9   |  0.8044216923474636 | 0.001 |
|   10  |  0.8555109481855558 | 0.001 |
|   11  |  0.8252861921265131 | 0.001 |
|   12  |  0.8110213673523674 | 0.001 |
|   13  |  0.836577343925008  | 0.001 |
|   14  |  0.8150843826007088 | 0.001 |
|   15  |  0.7929233226738379 | 0.001 |
|   16  |   0.86450692852443  | 0.001 |
|   17  |  0.8126891054389974 | 0.001 |
|   18  |  0.7495028346855597 | 0.001 |
|   19  |  0.7818075790254296 | 0.001 |
|   20  |  0.8139242516344015 | 0.001 |
|   21  |  0.8090416236925565 | 0.001 |
|   22  |  0.7374253653677912 | 0.001 |
|   23  |  0.7409756162235793 | 0.001 |
|   24  |  0.770700426183464  | 0.001 |
|   25  |  0.8075739930361745 | 0.001 |
|   26  |  0.7662541215054907 | 0.001 |
|   27  |  0.7979141388530782 | 0.001 |
|   28  |  0.7396090893128932 | 0.001 |
|   29  |  0.7730572514296421 | 0.001 |
|   30  |  0.747643079952703  | 0.001 |
|   31  |  0.7814846676698146 | 0.001 |
|   32  |  0.7062220696566287 | 0.001 |
|   33  |  0.7280916345853722 | 0.001 |
|   34  |  0.7709193127136432 | 0.001 |
|   35  |  0.7085801442254501 | 0.001 |
|   36  |  0.7805376931671102 | 0.001 |
|   37  |  0.7015303280548558 | 0.001 |
|   38  |  0.7008807702555191 | 0.001 |
|   39  |  0.7579329489246207 | 0.001 |
|   40  |  0.6849947542502571 | 0.001 |
|   41  |  0.6949673117406293 | 0.001 |
|   42  |  0.7103907532301931 | 0.001 |
|   43  |  0.6681623070095334 | 0.001 |
|   44  |  0.6807430069176063 | 0.001 |
|   45  |  0.6739616184876274 | 0.001 |
|   46  |  0.6889226084963312 | 0.001 |
|   47  |  0.6806195044697915 | 0.001 |
|   48  |  0.6960894739093126 | 0.001 |
|   49  |  0.6697796806181956 | 0.001 |
|   50  |  0.6602962600681587 | 0.001 |
|   51  |  0.6737776785853041 | 0.001 |
|   52  |  0.6787417524408225 | 0.001 |
|   53  |   0.68234294874687  | 0.001 |
|   54  |  0.696267104998113  | 0.001 |
|   55  |  0.6974309629374884 | 0.001 |
|   56  |  0.652179183683169  | 0.001 |
|   57  |  0.6353665397789988 | 0.001 |
|   58  |  0.7175689394052551 | 0.001 |
|   59  |  0.6421745255001202 | 0.001 |
|   60  |  0.6463250477899033 | 0.001 |
|   61  |  0.7174246399729737 | 0.001 |
|   62  |  0.6920412063913169 | 0.001 |
|   63  |  0.642795093770392  | 0.001 |
|   64  |  0.6823076133048629 | 0.001 |
|   65  |  0.6911306756782029 | 0.001 |
|   66  |  0.6377420640557926 | 0.001 |
|   67  |  0.6779153997476624 | 0.001 |
|   68  |  0.6432379619741817 | 0.001 |
|   69  |  0.6625039040255987 | 0.001 |
|   70  |  0.6548685941972959 | 0.001 |
|   71  |  0.6887353234995638 | 0.001 |
|   72  |  0.666070858485466  | 0.001 |
|   73  |  0.6445262528031985 | 0.001 |
|   74  |  0.6208394603395839 | 0.001 |
|   75  |  0.6084594316564323 | 0.001 |
|   76  |  0.6162581291079207 | 0.001 |
|   77  |  0.6257794203261272 | 0.001 |
|   78  |  0.6361723098481236 | 0.001 |
|   79  |  0.6144536992490763 | 0.001 |
|   80  |  0.6071427383334781 | 0.001 |
|   81  |  0.5831294719965288 | 0.001 |
|   82  |  0.5968633744207096 | 0.001 |
|   83  |  0.5953908727162747 | 0.001 |
|   84  |  0.6149874430926305 | 0.001 |
|   85  |  0.5883044368987976 | 0.001 |
|   86  |  0.6352106157975336 | 0.001 |
|   87  |  0.6110515008815675 | 0.001 |
|   88  |  0.6239419471305404 | 0.001 |
|   89  |  0.6362916874539569 | 0.001 |
|   90  |  0.6460406490397642 | 0.001 |
|   91  |  0.5912647114580099 | 0.001 |
|   92  |  0.6350387273803549 | 0.001 |
|   93  |  0.6587823135399882 | 0.001 |
|   94  |  0.629012691439928  | 0.001 |
|   95  |  0.5969298624426205 | 0.001 |
|   96  |  0.6144196480905789 | 0.001 |
|   97  |  0.5630820193084689 | 0.001 |
|   98  |  0.6023734621133527 | 0.001 |
|   99  |  0.613548393079662  | 0.001 |
|  100  |  0.5953193113483036 | 0.001 |
|  101  |  0.5668735830953694 | 0.001 |
|  102  |  0.5436555610797651 | 0.001 |
|  103  |  0.5758246960772059 | 0.001 |
|  104  |  0.651213804996108  | 0.001 |
|  105  |  0.5895258890764694 | 0.001 |
|  106  |  0.6092534443319315 | 0.001 |
|  107  |  0.5950316832059291 | 0.001 |
|  108  |  0.611185443464244  | 0.001 |
|  109  |  0.5764723414796009 | 0.001 |
|  110  |  0.5750278627966828 | 0.001 |
|  111  |  0.5410348771115406 | 0.001 |
|  112  |  0.6108119243053144 | 0.001 |
|  113  |  0.5526748366594944 | 0.001 |
|  114  |  0.5873995904400355 | 0.001 |
|  115  |  0.5892229365799232 | 0.001 |
|  116  |  0.5304970050235537 | 0.001 |
|  117  |  0.5928995312675637 | 0.001 |
|  118  |  0.5535512208309525 | 0.001 |
|  119  |  0.5906567610190852 | 0.001 |
|  120  |  0.5901378135096115 | 0.001 |
|  121  |  0.5468431094705587 | 0.001 |
|  122  |  0.5313843997927643 | 0.001 |
|  123  |  0.5828630028425231 | 0.001 |
|  124  |  0.5500610176680271 | 0.001 |
|  125  |  0.531014502174307  | 0.001 |
|  126  |  0.5677055530938121 | 0.001 |
|  127  |  0.5762584041007905 | 0.001 |
|  128  |  0.5361808238998252 | 0.001 |
|  129  |  0.5493885389104053 | 0.001 |
|  130  |  0.5850720766666382 | 0.001 |
|  131  |  0.5788578245759325 | 0.001 |
|  132  |  0.5178150835012069 | 0.001 |
|  133  |  0.5252324677394373 | 0.001 |
|  134  |  0.5489494482256806 | 0.001 |
|  135  |  0.5424304356675664 | 0.001 |
|  136  |  0.5857111896877238 | 0.001 |
|  137  |  0.5627475001252107 | 0.001 |
|  138  |  0.5165713840864579 | 0.001 |
|  139  |  0.5467880548697978 | 0.001 |
|  140  |  0.5359706041051718 | 0.001 |
|  141  |  0.5373313810391288 | 0.001 |
|  142  |  0.5393159212726402 | 0.001 |
|  143  |  0.5797613891259347 | 0.001 |
|  144  |  0.5287759579580503 | 0.001 |
|  145  |  0.5355449468919659 | 0.001 |
|  146  | 0.47518565824604286 | 0.001 |
|  147  |  0.5283352619739824 | 0.001 |
|  148  |  0.5427276506902046 | 0.001 |
|  149  |  0.559027398434897  | 0.001 |
|  150  |  0.5430197017488505 | 0.001 |
|  151  |  0.5029986513321507 | 0.001 |
|  152  |  0.5224530616976655 | 0.001 |
|  153  |  0.5362814826197864 | 0.001 |
|  154  |  0.5597190697306379 | 0.001 |
|  155  |  0.5111055758037164 | 0.001 |
|  156  |  0.5355682503579474 | 0.001 |
|  157  | 0.49375999260074543 | 0.001 |
|  158  |  0.5216070827676628 | 0.001 |
|  159  |  0.5514788805966642 | 0.001 |
|  160  |  0.5116556841968547 | 0.001 |
|  161  |  0.5407239975275024 | 0.001 |
|  162  |  0.535016047746179  | 0.001 |
|  163  |  0.5223810805808901 | 0.001 |
|  164  |  0.5075264114031377 | 0.001 |
|  165  |  0.5181522904725692 | 0.001 |
|  166  | 0.48378135760100976 | 0.001 |
|  167  | 0.49887192101465994 | 0.001 |
|  168  | 0.49638728762050416 | 0.001 |
|  169  |  0.4951879803926775 | 0.001 |
|  170  |  0.5054459296461775 | 0.001 |
|  171  |  0.4987288322486475 | 0.001 |
|  172  |  0.4664251382873052 | 0.001 |
|  173  |  0.5021129108985055 | 0.001 |
|  174  |  0.4994314453532639 | 0.001 |
|  175  |  0.4683452616895409 | 0.001 |
|  176  |  0.5175671528385938 | 0.001 |
|  177  |  0.5004863424241386 | 0.001 |
|  178  |  0.548642367863718  | 0.001 |
|  179  |  0.5096900232865088 | 0.001 |
|  180  |  0.4847564157717775 | 0.001 |
|  181  |  0.473463998935468  | 0.001 |
|  182  |  0.5148337606075256 | 0.001 |
|  183  |  0.5185457460483963 | 0.001 |
|  184  | 0.48809029922321795 | 0.001 |
|  185  |  0.4743405755049006 | 0.001 |
|  186  |  0.5316537931915324 | 0.001 |
|  187  |  0.5077161368012114 | 0.001 |
|  188  |  0.4720647408654004 | 0.001 |
|  189  |  0.5278126843686469 | 0.001 |
|  190  |  0.5010594047468382 | 0.001 |
|  191  |  0.459269252002711  | 0.001 |
|  192  | 0.49167769841830145 | 0.001 |
|  193  |  0.4670625022659201 | 0.001 |
|  194  |  0.5084939429266158 | 0.001 |
|  195  |  0.4801065818415242 | 0.001 |
|  196  | 0.48764138011001346 | 0.001 |
|  197  |  0.4896075161277147 | 0.001 |
|  198  | 0.47373734696873887 | 0.001 |
|  199  |  0.4657608370510444 | 0.001 |
|  200  | 0.48178429647611754 | 0.001 |
|  201  |  0.508049267640529  | 0.001 |
|  202  |  0.4621361534639525 | 0.001 |
|  203  | 0.47252205043323436 | 0.001 |
|  204  |   0.45950575906572  | 0.001 |
|  205  |  0.4937225526115196 | 0.001 |
|  206  |  0.4913145021115255 | 0.001 |
|  207  | 0.45850445211420215 | 0.001 |
|  208  | 0.45578396222836737 | 0.001 |
|  209  |  0.4359923030240329 | 0.001 |
|  210  |  0.4903936787771361 | 0.001 |
|  211  | 0.49363480689972244 | 0.001 |
|  212  |  0.5111545679437139 | 0.001 |
|  213  | 0.49217923807280045 | 0.001 |
|  214  |  0.498730645267966  | 0.001 |
|  215  | 0.44440428128657683 | 0.001 |
|  216  | 0.48937592364867316 | 0.001 |
|  217  |  0.5012806537283442 | 0.001 |
|  218  |  0.4745448651603155 | 0.001 |
|  219  | 0.46384277954786074 | 0.001 |
|  220  | 0.47608749897939234 | 0.001 |
|  221  |  0.5021883714167612 | 0.001 |
|  222  |  0.4954247979815843 | 0.001 |
|  223  |  0.4521318303563664 | 0.001 |
|  224  | 0.45662171337409513 | 0.001 |
|  225  | 0.47225572254538223 | 0.001 |
|  226  |  0.4506508658617971 | 0.001 |
|  227  | 0.44508688961767584 | 0.001 |
|  228  | 0.43514115242656115 | 0.001 |
|  229  |  0.4652240099567222 | 0.001 |
|  230  | 0.47316609778316165 | 0.001 |
|  231  |  0.4487711461364122 | 0.001 |
|  232  |  0.4639115551688111 | 0.001 |
|  233  |  0.4481872148752842 | 0.001 |
|  234  |  0.4478770849258101 | 0.001 |
|  235  | 0.49495806668867853 | 0.001 |
|  236  |  0.4650899877334333 | 0.001 |
|  237  | 0.47685636215914523 | 0.001 |
|  238  | 0.44969256238171484 | 0.001 |
|  239  |  0.4412419376005283 | 0.001 |
|  240  | 0.43794940060550114 | 0.001 |
|  241  | 0.45291137527232117 | 0.001 |
|  242  | 0.47193845326479006 | 0.001 |
|  243  |  0.446483557771567  | 0.001 |
|  244  | 0.47882509303910753 | 0.001 |
|  245  | 0.45109447361925975 | 0.001 |
|  246  |  0.4629266979197399 | 0.001 |
|  247  | 0.44277930052110576 | 0.001 |
|  248  |  0.4458366824957815 | 0.001 |
|  249  | 0.44414773177660233 | 0.001 |
|  250  |  0.4766144576833871 | 0.001 |
|  251  | 0.45165755965778887 | 0.001 |
|  252  |  0.3985950486326595 | 0.001 |
|  253  |  0.474381690651257  | 0.001 |
|  254  |  0.458292125491794  | 0.001 |
|  255  | 0.46287431138171997 | 0.001 |
|  256  | 0.45543242931995037 | 0.001 |
|  257  |  0.4257556384188519 | 0.001 |
|  258  |  0.4330171789374389 | 0.001 |
|  259  | 0.41759105394729523 | 0.001 |
|  260  | 0.45921544645959633 | 0.001 |
|  261  | 0.43186681566278295 | 0.001 |
|  262  |  0.4301790749806527 | 0.001 |
|  263  |  0.465571350920798  | 0.001 |
|  264  | 0.42188755374863784 | 0.001 |
|  265  | 0.45905488072095885 | 0.001 |
|  266  |  0.444523036998935  | 0.001 |
|  267  | 0.44748472302444375 | 0.001 |
|  268  |  0.4466846353774964 | 0.001 |
|  269  |  0.4426607326026957 | 0.001 |
|  270  | 0.42763279954015737 | 0.001 |
|  271  | 0.47715734447841596 | 0.001 |
|  272  | 0.44093769379058423 | 0.001 |
|  273  |  0.4512675095182453 | 0.001 |
|  274  | 0.39996403981010015 | 0.001 |
|  275  |  0.411042841946544  | 0.001 |
|  276  |  0.4071001599677949 | 0.001 |
|  277  |  0.4237909780014159 | 0.001 |
|  278  |  0.3878018690602446 | 0.001 |
|  279  |  0.4040522628535067 | 0.001 |
|  280  | 0.45606012935688756 | 0.001 |
|  281  | 0.45053898699994455 | 0.001 |
|  282  |  0.4495296713859236 | 0.001 |
|  283  | 0.42565385854967663 | 0.001 |
|  284  | 0.43439317646001446 | 0.001 |
|  285  |  0.4313843703796807 | 0.001 |
|  286  |  0.3999537436974709 | 0.001 |
|  287  |  0.4552622861393523 | 0.001 |
|  288  | 0.43330482122608727 | 0.001 |
|  289  | 0.41399687041078836 | 0.001 |
|  290  | 0.41326743641912467 | 0.001 |
|  291  |  0.4091111620804565 | 0.001 |
|  292  |  0.4476726419221128 | 0.001 |
|  293  | 0.47320610086647374 | 0.001 |
|  294  | 0.43283264660583637 | 0.001 |
|  295  |  0.4284619851052604 | 0.001 |
|  296  |  0.4234937610915594 | 0.001 |
|  297  |  0.444245147453449  | 0.001 |
|  298  |  0.4373203146111682 | 0.001 |
|  299  |  0.4253930040903016 | 0.001 |
|  300  |  0.4459808095935781 | 0.001 |
|  301  |  0.3913937112586794 | 0.001 |
|  302  |  0.4040134800455501 | 0.001 |
|  303  | 0.44387938856764014 | 0.001 |
|  304  | 0.45048356975445963 | 0.001 |
|  305  |  0.4328946650264131 | 0.001 |
|  306  |   0.42295457219071  | 0.001 |
|  307  | 0.40049264920103833 | 0.001 |
|  308  | 0.39040657662464634 | 0.001 |
|  309  |  0.4493590912120638 | 0.001 |
|  310  | 0.42221476157296617 | 0.001 |
|  311  | 0.41221636222346164 | 0.001 |
|  312  |  0.432792609882858  | 0.001 |
|  313  | 0.39216928848982013 | 0.001 |
|  314  |  0.4293057714729007 | 0.001 |
|  315  |  0.4356349386451741 | 0.001 |
|  316  | 0.42348446352186175 | 0.001 |
|  317  |  0.4110179211659293 | 0.001 |
|  318  | 0.42573088234521467 | 0.001 |
|  319  |  0.3968116620914288 | 0.001 |
|  320  |  0.4368979826766142 | 0.001 |
|  321  |  0.4195659123026916 | 0.001 |
|  322  | 0.39717079033795005 | 0.001 |
|  323  |  0.4079301102494816 | 0.001 |
|  324  | 0.41856458518545986 | 0.001 |
|  325  | 0.45856299602419215 | 0.001 |
|  326  |   0.43733868582818  | 0.001 |
|  327  |  0.4664610683564146 | 0.001 |
|  328  | 0.42674344567321537 | 0.001 |
|  329  |  0.4302205862659263 | 0.001 |
|  330  | 0.38552939377548195 | 0.001 |
|  331  |  0.4252656580590321 | 0.001 |
|  332  | 0.41601990058742916 | 0.001 |
|  333  |  0.3811051232519125 | 0.001 |
|  334  |  0.4282291928370112 | 0.001 |
|  335  |  0.4176986516239539 | 0.001 |
|  336  |  0.4147345687279915 | 0.001 |
|  337  |  0.4565835128830731 | 0.001 |
|  338  |  0.4024937624667125 | 0.001 |
|  339  | 0.41215759341194635 | 0.001 |
|  340  |  0.4663275635100921 | 0.001 |
|  341  | 0.41682750990019624 | 0.001 |
|  342  |  0.383383479376267  | 0.001 |
|  343  |  0.4170201058438082 | 0.001 |
|  344  | 0.41988956544518785 | 0.001 |
|  345  |  0.3918029954612727 | 0.001 |
