+-------+---------------------+-------+
| Epoch |         bpd         |   lr  |
+-------+---------------------+-------+
|   1   | 0.42542537292412347 | 0.001 |
|   2   |  0.3160152299063546 | 0.001 |
|   3   | 0.28196602913311547 | 0.001 |
|   4   |  0.2788420512676239 | 0.001 |
|   5   | 0.28237132389204844 | 0.001 |
|   6   | 0.29216930825369697 | 0.001 |
|   7   |  0.2707103502069201 | 0.001 |
|   8   | 0.23494137907028198 | 0.001 |
|   9   | 0.21285284079824174 | 0.001 |
|   10  | 0.20882470944949558 | 0.001 |
|   11  | 0.19774137779644557 | 0.001 |
|   12  | 0.21014138094016485 | 0.001 |
|   13  |  0.1928446169069835 | 0.001 |
|   14  | 0.20296359896659852 | 0.001 |
|   15  | 0.20313451419557843 | 0.001 |
|   16  | 0.20061603789670127 | 0.001 |
|   17  | 0.20163339676175798 | 0.001 |
|   18  | 0.19004227016653333 | 0.001 |
|   19  | 0.18538055470665651 | 0.001 |
|   20  | 0.19116379172461373 | 0.001 |
|   21  |  0.1996033820765359 | 0.001 |
|   22  |  0.1811576381751469 | 0.001 |
|   23  |  0.1927402114527566 | 0.001 |
|   24  | 0.19709258682387215 | 0.001 |
|   25  |  0.182033560693264  | 0.001 |
|   26  |  0.1761280118227005 | 0.001 |
|   27  |  0.1907933306353433 | 0.001 |
|   28  | 0.18691524422168732 | 0.001 |
|   29  |  0.1903443103688104 | 0.001 |
|   30  | 0.18700190363611494 | 0.001 |
|   31  |  0.1865028588431222 | 0.001 |
|   32  | 0.18854769735676902 | 0.001 |
|   33  | 0.19225462307248797 | 0.001 |
|   34  |  0.1822236436860902 | 0.001 |
|   35  | 0.18069994063036782 | 0.001 |
|   36  | 0.18532996313912528 | 0.001 |
|   37  | 0.18893930448804583 | 0.001 |
|   38  | 0.17873223994459425 | 0.001 |
|   39  |  0.1926471106665475 | 0.001 |
|   40  | 0.18301955206053597 | 0.001 |
|   41  | 0.18645286205836706 | 0.001 |
|   42  |  0.1682551418713161 | 0.001 |
|   43  |  0.1702567559140069 | 0.001 |
|   44  | 0.16906879982778003 | 0.001 |
|   45  | 0.18306909445353917 | 0.001 |
