+-------+---------------------+-------+
| Epoch |         bpd         |   lr  |
+-------+---------------------+-------+
|   1   | 0.46928181764673976 | 0.001 |
|   2   | 0.40562710791323636 | 0.001 |
|   3   |  0.4049789626226813 | 0.001 |
|   4   |  0.3905574400910584 | 0.001 |
|   5   |  0.3708057514081236 | 0.001 |
|   6   |  0.3553847370778636 | 0.001 |
|   7   | 0.34065955100783896 | 0.001 |
|   8   |  0.345034989761767  | 0.001 |
|   9   | 0.34038948217924375 | 0.001 |
|   10  |  0.3316585631413611 | 0.001 |
|   11  | 0.32792476721567265 | 0.001 |
|   12  |  0.3228859091010827 | 0.001 |
|   13  |  0.3373442470739105 | 0.001 |
|   14  | 0.33759353643680456 | 0.001 |
|   15  |  0.3262985392573166 | 0.001 |
|   16  | 0.31090480855188485 | 0.001 |
|   17  | 0.31695396766691897 | 0.001 |
|   18  |  0.3140110192166158 | 0.001 |
|   19  | 0.32847370768952394 | 0.001 |
|   20  |  0.3078021395984193 | 0.001 |
|   21  | 0.31501667405097955 | 0.001 |
|   22  | 0.30341714194342323 | 0.001 |
|   23  |  0.3180504070105685 | 0.001 |
|   24  |  0.3177880725918001 | 0.001 |
|   25  |  0.313757323021831  | 0.001 |
|   26  |  0.3172081374299237 | 0.001 |
|   27  |  0.3077567663827421 | 0.001 |
|   28  | 0.31272651493385706 | 0.001 |
|   29  |  0.3155338015823535 | 0.001 |
|   30  |  0.3258457267061581 | 0.001 |
|   31  | 0.30004089088093855 | 0.001 |
|   32  | 0.31001413485663815 | 0.001 |
|   33  |  0.3233310308841733 | 0.001 |
|   34  | 0.30240664215302865 | 0.001 |
|   35  |  0.3133612665994165 | 0.001 |
|   36  |  0.313974959890988  | 0.001 |
|   37  | 0.31082297805275966 | 0.001 |
|   38  |  0.3211220023927852 | 0.001 |
|   39  |  0.3071263345460848 | 0.001 |
|   40  | 0.30565362066470775 | 0.001 |
|   41  |  0.319592219830375  | 0.001 |
|   42  |  0.3016164314670543 | 0.001 |
|   43  |  0.3183899501801088 | 0.001 |
|   44  | 0.30584571286422807 | 0.001 |
|   45  |  0.307917619752085  | 0.001 |
|   46  | 0.30566737863469107 | 0.001 |
|   47  | 0.31455274715351766 | 0.001 |
|   48  |  0.3069538574839707 | 0.001 |
|   49  | 0.30680179031772564 | 0.001 |
|   50  |  0.3041684756420503 | 0.001 |
|   51  |  0.3176691448911424 | 0.001 |
|   52  |  0.3095180726796343 | 0.001 |
|   53  |  0.3178932784912545 | 0.001 |
|   54  |  0.3092245316379084 | 0.001 |
|   55  | 0.30937902892176694 | 0.001 |
|   56  | 0.32202918798507274 | 0.001 |
|   57  | 0.30437229773409363 | 0.001 |
|   58  |  0.3178397087446822 | 0.001 |
|   59  |  0.3079745819060929 | 0.001 |
|   60  |  0.3064003083609016 | 0.001 |
|   61  |  0.298582769013778  | 0.001 |
|   62  |  0.3078678967766073 | 0.001 |
|   63  | 0.30703530017920366 | 0.001 |
|   64  | 0.31169100860659066 | 0.001 |
|   65  | 0.31045772518453224 | 0.001 |
|   66  |  0.3103238743439985 | 0.001 |
|   67  | 0.29211828147279273 | 0.001 |
|   68  |  0.2965628678135744 | 0.001 |
|   69  |  0.3092666055146565 | 0.001 |
|   70  |  0.3146651627491322 | 0.001 |
|   71  | 0.30328004772265077 | 0.001 |
|   72  |  0.3035108194988361 | 0.001 |
|   73  | 0.30178070975043264 | 0.001 |
|   74  |  0.2890390385084071 | 0.001 |
|   75  | 0.30082332173085047 | 0.001 |
|   76  | 0.29512982450134906 | 0.001 |
|   77  | 0.29488442274212096 | 0.001 |
|   78  |  0.3036183181344123 | 0.001 |
|   79  |  0.3048803330652282 | 0.001 |
|   80  |  0.3026518581785989 | 0.001 |
|   81  |  0.3043147098481975 | 0.001 |
|   82  | 0.30166366309461845 | 0.001 |
|   83  | 0.30158295873287655 | 0.001 |
|   84  |  0.3006489558700861 | 0.001 |
|   85  | 0.29424412348081114 | 0.001 |
|   86  |  0.2957079639491342 | 0.001 |
|   87  |  0.296406343538387  | 0.001 |
|   88  | 0.31002201054014866 | 0.001 |
|   89  | 0.30127477262484753 | 0.001 |
|   90  |  0.2852721355104465 | 0.001 |
|   91  | 0.29504388438806595 | 0.001 |
|   92  |  0.304374231499213  | 0.001 |
|   93  |  0.3091050745350253 | 0.001 |
|   94  | 0.30990492856523316 | 0.001 |
|   95  | 0.29867156104553283 | 0.001 |
|   96  |  0.3057368604758833 | 0.001 |
|   97  | 0.30437442078623433 | 0.001 |
|   98  |  0.3079628793534648 | 0.001 |
|   99  |  0.2958068442291729 | 0.001 |
|  100  | 0.28852569425725294 | 0.001 |
|  101  |  0.3050766511124952 | 0.001 |
|  102  |  0.3011997121660602 | 0.001 |
|  103  | 0.30332865283635935 | 0.001 |
|  104  |  0.2975893313315313 | 0.001 |
|  105  |  0.2980353291291227 | 0.001 |
|  106  | 0.30092031613785697 | 0.001 |
|  107  | 0.29862281692965226 | 0.001 |
|  108  |  0.298141741288193  | 0.001 |
|  109  |  0.3048334707386557 | 0.001 |
|  110  |  0.3103361193970792 | 0.001 |
|  111  | 0.29235203373057084 | 0.001 |
|  112  |  0.3075621300140186 | 0.001 |
|  113  | 0.31418269454209474 | 0.001 |
|  114  | 0.30127416241167415 | 0.001 |
|  115  | 0.29950538565558005 | 0.001 |
|  116  |  0.2976513224063307 | 0.001 |
|  117  |  0.2994207548836496 | 0.001 |
|  118  |  0.2925726985569878 | 0.001 |
|  119  | 0.29953455734851914 | 0.001 |
|  120  |  0.2945746219552472 | 0.001 |
|  121  |  0.2991378212118479 | 0.001 |
|  122  |  0.2934622712845418 | 0.001 |
|  123  | 0.29130639997491053 | 0.001 |
|  124  |  0.2972864417067311 | 0.001 |
|  125  |  0.2956447105093575 | 0.001 |
|  126  |  0.2967124041396403 | 0.001 |
|  127  | 0.29247673912708516 | 0.001 |
|  128  | 0.29098152843141223 | 0.001 |
|  129  |  0.2937601883125632 | 0.001 |
|  130  |  0.2837527404502934 | 0.001 |
|  131  |  0.287625184463105  | 0.001 |
|  132  |  0.2982444624385604 | 0.001 |
|  133  |  0.2970116944998867 | 0.001 |
|  134  | 0.30026865747916825 | 0.001 |
|  135  | 0.29649284176147594 | 0.001 |
|  136  | 0.30116406983528055 | 0.001 |
|  137  | 0.29284153851999584 | 0.001 |
|  138  | 0.29489539326180164 | 0.001 |
|  139  | 0.30049360463909325 | 0.001 |
|  140  | 0.28920139588785315 | 0.001 |
|  141  | 0.28775345757048953 | 0.001 |
|  142  |  0.2956357354789943 | 0.001 |
|  143  |  0.2903509015958439 | 0.001 |
|  144  | 0.30258019286240606 | 0.001 |
|  145  | 0.29282531769139974 | 0.001 |
|  146  |  0.2856051672797019 | 0.001 |
|  147  | 0.28302909735995463 | 0.001 |
|  148  |  0.2968714816973361 | 0.001 |
|  149  |  0.2865632895839528 | 0.001 |
|  150  |  0.2915133017623441 | 0.001 |
|  151  | 0.29392489760915413 | 0.001 |
|  152  | 0.29932140010854813 | 0.001 |
|  153  | 0.29096159512334213 | 0.001 |
|  154  | 0.29721863486592576 | 0.001 |
|  155  |  0.2876135205455807 | 0.001 |
|  156  |  0.2905659368886363 | 0.001 |
|  157  |  0.2933684076759849 | 0.001 |
|  158  |  0.2929958807189371 | 0.001 |
|  159  |  0.2967295571470092 | 0.001 |
|  160  |  0.298860433725369  | 0.001 |
|  161  | 0.29416197096542496 | 0.001 |
|  162  |  0.2980416950516832 | 0.001 |
|  163  | 0.29722815000056063 | 0.001 |
|  164  |  0.2988081457786697 | 0.001 |
|  165  |  0.2931593529522619 | 0.001 |
|  166  |  0.2911892053987142 | 0.001 |
|  167  | 0.28980853807257584 | 0.001 |
|  168  | 0.28996007938699725 | 0.001 |
|  169  | 0.30458692172444113 | 0.001 |
|  170  |  0.2976690962012622 | 0.001 |
|  171  | 0.29478551366154954 | 0.001 |
|  172  | 0.28652968855836053 | 0.001 |
|  173  | 0.29068508767228135 | 0.001 |
|  174  | 0.28893316339116043 | 0.001 |
|  175  |  0.286809637306848  | 0.001 |
|  176  |  0.295737687755001  | 0.001 |
|  177  | 0.29170868521127463 | 0.001 |
|  178  |  0.2913836796995383 | 0.001 |
|  179  |  0.290130319274209  | 0.001 |
|  180  |  0.2960514217587854 | 0.001 |
|  181  | 0.29419652824075193 | 0.001 |
|  182  | 0.29280186251170676 | 0.001 |
|  183  | 0.28980631802749307 | 0.001 |
|  184  | 0.29469965884756893 | 0.001 |
|  185  | 0.29762039894102904 | 0.001 |
|  186  | 0.29980749952386876 | 0.001 |
|  187  |  0.2895549627363525 | 0.001 |
|  188  |  0.2911424688427008 | 0.001 |
|  189  |  0.2954420621511375 | 0.001 |
|  190  |  0.2965472157148929 | 0.001 |
|  191  | 0.28868259054521345 | 0.001 |
|  192  | 0.29939043691757067 | 0.001 |
|  193  | 0.30039529081014227 | 0.001 |
|  194  | 0.28886763705726537 | 0.001 |
|  195  | 0.29024021104046344 | 0.001 |
|  196  |  0.3006243341685111 | 0.001 |
|  197  | 0.29172404014584224 | 0.001 |
|  198  |  0.2766573053744123 | 0.001 |
|  199  |  0.2949657685648576 | 0.001 |
|  200  | 0.29752694231059534 | 0.001 |
|  201  |  0.2919893487323659 | 0.001 |
|  202  |  0.2806984870819431 | 0.001 |
|  203  |  0.2838380946756506 | 0.001 |
|  204  |  0.294040296666533  | 0.001 |
|  205  | 0.28619628612442505 | 0.001 |
|  206  |  0.2944908263652513 | 0.001 |
|  207  | 0.28890767644817145 | 0.001 |
|  208  | 0.30558899334481526 | 0.001 |
|  209  |  0.2889103682964785 | 0.001 |
|  210  |  0.3004772342845714 | 0.001 |
|  211  |  0.2897921063289428 | 0.001 |
|  212  | 0.29088921169156823 | 0.001 |
|  213  | 0.29475427842761004 | 0.001 |
|  214  |  0.2851022209883017 | 0.001 |
|  215  |  0.2874315568926693 | 0.001 |
|  216  |  0.2948098420358465 | 0.001 |
|  217  |  0.2948771099091127 | 0.001 |
|  218  | 0.28783632415714633 | 0.001 |
|  219  | 0.28967300727588435 | 0.001 |
|  220  | 0.29447985418576816 | 0.001 |
|  221  | 0.29030729692922663 | 0.001 |
|  222  |  0.2829548632776046 | 0.001 |
|  223  |  0.2901211706761956 | 0.001 |
|  224  |  0.2888017986191433 | 0.001 |
|  225  | 0.29950420632675934 | 0.001 |
|  226  |  0.2925085388050987 | 0.001 |
|  227  | 0.28685964358556343 | 0.001 |
|  228  | 0.28436478017467653 | 0.001 |
|  229  |  0.2911682951480012 | 0.001 |
|  230  | 0.28861678745376523 | 0.001 |
|  231  | 0.29240828262371515 | 0.001 |
|  232  |  0.282783743828352  | 0.001 |
|  233  |  0.2893831151998936 | 0.001 |
|  234  | 0.28791358720588184 | 0.001 |
|  235  | 0.28853295676644947 | 0.001 |
|  236  | 0.28981753990905984 | 0.001 |
|  237  |  0.2862278027602435 | 0.001 |
|  238  | 0.28524655912180075 | 0.001 |
|  239  |  0.2920946978146554 | 0.001 |
|  240  |  0.2873101349141326 | 0.001 |
|  241  | 0.29183196228812514 | 0.001 |
|  242  |  0.2892694794706214 | 0.001 |
|  243  |  0.2958828698795554 | 0.001 |
|  244  |  0.2913924608375219 | 0.001 |
|  245  | 0.29110803998736934 | 0.001 |
|  246  |   0.29683601446348  | 0.001 |
|  247  |  0.2798044381694669 | 0.001 |
|  248  |  0.2887792152148496 | 0.001 |
|  249  | 0.28522211388055446 | 0.001 |
|  250  | 0.29320968040564055 | 0.001 |
|  251  |  0.2913963457449966 | 0.001 |
|  252  | 0.28820264711927873 | 0.001 |
|  253  | 0.29105766534275407 | 0.001 |
|  254  | 0.28394827835387476 | 0.001 |
|  255  |  0.2734636824759709 | 0.001 |
|  256  |  0.2865422577131479 | 0.001 |
|  257  | 0.28571119271859013 | 0.001 |
|  258  |  0.2842591527393089 | 0.001 |
|  259  |  0.2854599575541994 | 0.001 |
|  260  | 0.29303663171869676 | 0.001 |
|  261  |  0.276622402978145  | 0.001 |
|  262  |  0.2915212704061854 | 0.001 |
